title,text,clean_text,date,url,source,location,lat,lon,murder,rape,kidnapping,sexual_harassment,crime_against_children,theft,burglary,robbery,fraud_cheating,accident,non_crime
ಬಾಲಕಾರ್ಮಿಕ ಪದ್ಧತಿ ವಿರೋಧಿ ಕಾರ್ಯಾಚರಣೆ: ದಾವಣಗೆರೆಯಲ್ಲಿ 5 ಮಕ್ಕಳ ರಕ್ಷಣೆ,ದಾವಣಗೆರೆಯ ವಿವಿಧ ಹೋಟೆಲ್ ಹಾಗೂ ಗ್ಯಾರೇಜ್‌ಗಳ ಮೇಲೆ ದಾಳಿ ನಡೆಸಿದ ಅಧಿಕಾರಿಗಳು ಐವರು ಅಪ್ರಾಪ್ತ ಬಾಲಕಾರ್ಮಿಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಕ್ಷಿಸಿದ್ದಾರೆ.,ಬಾಲಕಾರ್ಮಿಕ ಪದ್ಧತಿ ವಿರೋಧಿ ಕಾರ್ಯಾಚರಣೆ: ದಾವಣಗೆರೆಯಲ್ಲಿ 5 ಮಕ್ಕಳ ರಕ್ಷಣೆ ದಾವಣಗೆರೆಯ ವಿವಿಧ ಹೋಟೆಲ್ ಹಾಗೂ ಗ್ಯಾರೇಜ್‌ಗಳ ಮೇಲೆ ದಾಳಿ ನಡೆಸಿದ ಅಧಿಕಾರಿಗಳು ಐವರು ಅಪ್ರಾಪ್ತ ಬಾಲಕಾರ್ಮಿಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಕ್ಷಿಸಿದ್ದಾರೆ.,2026-05-27,https://www.newsportal.com/article/10,Prajavani,"Davanagere, Karnataka",14.4644,75.9218,0,0,0,0,1,0,0,0,0,0,0
"Mobile snatching gang active in Delhi Metro busted, 15 devices recovered","The metro police wing busted an organized gang of pickpockets operating on the Yellow Line, recovering stolen smartphones.","mobile snatching gang active in delhi metro busted, 15 devices recovered the metro police wing busted an organized gang of pickpockets operating on the yellow line, recovering stolen smartphones.",2026-05-26,https://www.newsportal.com/article/11,Hindustan Times,"Kashmere Gate, Delhi",28.6675,77.2282,0,0,0,0,0,1,0,0,0,0,0
ಮಂಗಳೂರು: ಬ್ಯಾಂಕ್‌ನಿಂದ ಹೊರಬರುತ್ತಿದ್ದ ವೃದ್ಧನ ₹2 ಲಕ್ಷ ಕಳವು,ಮಂಗಳೂರಿನ ಹಂಪನಕಟ್ಟೆಯಲ್ಲಿ ರಾಷ್ಟ್ರೀಕೃತ ಬ್ಯಾಂಕ್ ನಿಂದ ಹಣ ಡ್ರಾ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತಿದ್ದ ವೃದ್ಧನ ಗಮನ ಬೇರೆಸೆಳೆದು ₹2 ಲಕ್ಷ ದೋಚಲಾಗಿದೆ.,ಮಂಗಳೂರು: ಬ್ಯಾಂಕ್‌ನಿಂದ ಹೊರಬರುತ್ತಿದ್ದ ವೃದ್ಧನ ₹2 ಲಕ್ಷ ಕಳವು ಮಂಗಳೂರಿನ ಹಂಪನಕಟ್ಟೆಯಲ್ಲಿ ರಾಷ್ಟ್ರೀಕೃತ ಬ್ಯಾಂಕ್ ನಿಂದ ಹಣ ಡ್ರಾ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತಿದ್ದ ವೃದ್ಧನ ಗಮನ ಬೇರೆಸೆಳೆದು ₹2 ಲಕ್ಷ ದೋಚಲಾಗಿದೆ.,2026-05-25,https://www.newsportal.com/article/12,Udayavani,"Hampankatta, Mangaluru",12.8703,74.8436,0,0,0,0,0,1,0,0,0,0,0
Pune: Burglars loot cash and diamonds worth ₹45 Lakhs from locked bungalow,"Unidentified thieves broke into a locked bungalow in Pune during the holidays, cracking the safe and escaping with valuable diamond sets.","pune: burglars loot cash and diamonds worth ₹45 lakhs from locked bungalow unidentified thieves broke into a locked bungalow in pune during the holidays, cracking the safe and escaping with valuable diamond sets.",2026-05-24,https://www.newsportal.com/article/13,Times of India,"Koregaon Park, Pune",18.5362,73.894,0,0,0,0,0,0,1,0,0,0,0
जयपुर में बंद मकान में सेंधमारी: 10 लाख की नकदी और सोने के जेवर चोरी,"वैशाली नगर में एक परिवार शादी में गया हुआ था, पीछे से चोरों ने ताला तोड़कर तिजोरी साफ कर दी। पुलिस सीसीटीवी फुटेज खंगाल रही है।","जयपुर में बंद मकान में सेंधमारी: 10 लाख की नकदी और सोने के जेवर चोरी वैशाली नगर में एक परिवार शादी में गया हुआ था, पीछे से चोरों ने ताला तोड़कर तिजोरी साफ कर दी। पुलिस सीसीटीवी फुटेज खंगाल रही है।",2026-05-23,https://www.newsportal.com/article/14,Dainik Bhaskar,"Vaishali Nagar, Jaipur",26.9074,75.7381,0,0,0,0,0,0,1,0,0,0,0
Gold shop heist in Coimbatore: Armed robbers flee with 5kg gold jewellery,Four masked men armed with knives threatened the showroom staff in Coimbatore and looted all the gold ornaments on display within minutes.,gold shop heist in coimbatore: armed robbers flee with 5kg gold jewellery four masked men armed with knives threatened the showroom staff in coimbatore and looted all the gold ornaments on display within minutes.,2026-05-27,https://www.newsportal.com/article/15,Dina Thanthi,"Coimbatore, Tamil Nadu",11.0168,76.9558,0,0,0,0,0,0,0,1,0,0,0
ಕೋಲಾರ: ಕತ್ತಿ ತೋರಿಸಿ ಬೈಕ್ ಸವಾರನ ಚಿನ್ನದ ಚೈನ್ ಲೂಟಿ ಮಾಡಿದ ದರೋಡೆಕೋರರು,ಕೋಲಾರದ ರಾಷ್ಟ್ರೀಯ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಬೈಕ್ ಸವಾರನನ್ನು ಅಡ್ಡಗಟ್ಟಿದ ದರೋಡೆಕೋರರು ಕತ್ತಿ ತೋರಿಸಿ ಬೆದರಿಸಿ ಚಿನ್ನದ ಚೈನ್ ಕಿತ್ತುಕೊಂಡು ಪರಾರಿಯಾಗಿದ್ದಾರೆ.,ಕೋಲಾರ: ಕತ್ತಿ ತೋರಿಸಿ ಬೈಕ್ ಸವಾರನ ಚಿನ್ನದ ಚೈನ್ ಲೂಟಿ ಮಾಡಿದ ದರೋಡೆಕೋರರು ಕೋಲಾರದ ರಾಷ್ಟ್ರೀಯ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಬೈಕ್ ಸವಾರನನ್ನು ಅಡ್ಡಗಟ್ಟಿದ ದರೋಡೆಕೋರರು ಕತ್ತಿ ತೋರಿಸಿ ಬೆದರಿಸಿ ಚಿನ್ನದ ಚೈನ್ ಕಿತ್ತುಕೊಂಡು ಪರಾರಿಯಾಗಿದ್ದಾರೆ.,2026-05-26,https://www.newsportal.com/article/16,Vijayavani,"Kolar, Karnataka",13.1368,78.1293,0,0,0,0,0,0,0,1,0,0,0
Hyderabad cyber cell arrests gang for running duplicate UPI payment app scam,The cyber police arrested four engineers who developed a fake UPI app to trick shopkeepers by showing successful dummy transaction screens.,hyderabad cyber cell arrests gang for running duplicate upi payment app scam the cyber police arrested four engineers who developed a fake upi app to trick shopkeepers by showing successful dummy transaction screens.,2026-05-25,https://www.newsportal.com/article/17,Sakshi,"Madhapur, Hyderabad",17.4483,78.3915,0,0,0,0,0,0,0,0,1,0,0
ಬೆಂಗಳೂರು: ನೌಕರಿ ಕೊಡಿಸುವುದಾಗಿ ನಂಬಿಸಿ ಯುವಕನಿಗೆ ₹5 ಲಕ್ಷ ವಂಚನೆ,ಖಾಸಗಿ ಕಂಪನಿಯಲ್ಲಿ ಕೆಲಸ ಕೊಡಿಸುವುದಾಗಿ ನಂಬಿಸಿ ಯುವಕನೊಬ್ಬನಿಂದ ₹5 ಲಕ್ಷ ಪಡೆದು ವಂಚಿಸಿರುವ ಬಗ್ಗೆ ಜಯನಗರ ಪೊಲೀಸ್ ಠಾಣೆಯಲ್ಲಿ ದೂರು ದಾಖಲಾಗಿದೆ.,ಬೆಂಗಳೂರು: ನೌಕರಿ ಕೊಡಿಸುವುದಾಗಿ ನಂಬಿಸಿ ಯುವಕನಿಗೆ ₹5 ಲಕ್ಷ ವಂಚನೆ ಖಾಸಗಿ ಕಂಪನಿಯಲ್ಲಿ ಕೆಲಸ ಕೊಡಿಸುವುದಾಗಿ ನಂಬಿಸಿ ಯುವಕನೊಬ್ಬನಿಂದ ₹5 ಲಕ್ಷ ಪಡೆದು ವಂಚಿಸಿರುವ ಬಗ್ಗೆ ಜಯನಗರ ಪೊಲೀಸ್ ಠಾಣೆಯಲ್ಲಿ ದೂರು ದಾಖಲಾಗಿದೆ.,2026-05-24,https://www.newsportal.com/article/18,Prajavani,"Jayanagar, Bengaluru",12.9308,77.5833,0,0,0,0,0,0,0,0,1,0,0
"Terrible road accident on Yamuna Expressway leaves 4 dead, 3 injured","A speeding SUV rammed into a parked truck due to low visibility, resulting in four immediate fatalities near Mathura on the Expressway.","terrible road accident on yamuna expressway leaves 4 dead, 3 injured a speeding suv rammed into a parked truck due to low visibility, resulting in four immediate fatalities near mathura on the expressway.",2026-05-23,https://www.newsportal.com/article/19,Hindustan Times,"Mathura, Uttar Pradesh",27.4924,77.6737,0,0,0,0,0,0,0,0,0,1,0
ಕಾರು ಮತ್ತು ಕೆಎಸ್‌ಆರ್‌ಟಿಸಿ ಬಸ್ ಮುಖಾಮುಖಿ ಡಿಕ್ಕಿ: ಮೂವರು ಸ್ಥಳದಲ್ಲೇ ಸಾವು,"ಹಾಸನ ಸಮೀಪದ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಕಾರು ಹಾಗೂ ಕೆಎಸ್ಆರ್ಟಿಸಿ ಬಸ್ ನಡುವೆ ಭೀಕರ ಅಪಘಾತ ಸಂಭವಿಸಿದ್ದು, ಕಾರಿನಲ್ಲಿದ್ದ ಮೂವರು ಸ್ಥಳದಲ್ಲೇ ಕೊನೆಯುಸಿರೆಳೆದಿದ್ದಾರೆ.","ಕಾರು ಮತ್ತು ಕೆಎಸ್‌ಆರ್‌ಟಿಸಿ ಬಸ್ ಮುಖಾಮುಖಿ ಡಿಕ್ಕಿ: ಮೂವರು ಸ್ಥಳದಲ್ಲೇ ಸಾವು ಹಾಸನ ಸಮೀಪದ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಕಾರು ಹಾಗೂ ಕೆಎಸ್ಆರ್ಟಿಸಿ ಬಸ್ ನಡುವೆ ಭೀಕರ ಅಪಘಾತ ಸಂಭವಿಸಿದ್ದು, ಕಾರಿನಲ್ಲಿದ್ದ ಮೂವರು ಸ್ಥಳದಲ್ಲೇ ಕೊನೆಯುಸಿರೆಳೆದಿದ್ದಾರೆ.",2026-05-27,https://www.newsportal.com/article/20,Udayavani,"Hassan, Karnataka",13.0068,76.1025,0,0,0,0,0,0,0,0,0,1,0
ISRO successfully launches new generation meteorological satellite,The Indian Space Research Organisation achieved another milestone with the flawless orbit insertion of its weather tracking satellite.,isro successfully launches new generation meteorological satellite the indian space research organisation achieved another milestone with the flawless orbit insertion of its weather tracking satellite.,2026-05-26,https://www.newsportal.com/article/21,The Hindu,"Sriharikota, Andhra Pradesh",13.7259,80.2266,0,0,0,0,0,0,0,0,0,0,1
India beats Australia by 5 wickets in high-scoring cricket match,An outstanding century by the opening batsman helped the Indian cricket team chase down the target of 320 runs in the final over.,india beats australia by 5 wickets in high-scoring cricket match an outstanding century by the opening batsman helped the indian cricket team chase down the target of 320 runs in the final over.,2026-05-25,https://www.newsportal.com/article/22,Times of India,"Mumbai, Maharashtra",18.975,72.8258,0,0,0,0,0,0,0,0,0,0,1
ಬೆಂಗಳೂರು ಸೇರಿ ದಕ್ಷಿಣ ಒಳನಾಡಿನಲ್ಲಿ ಮುಂದಿನ 3 ದಿನ ಭಾರಿ ಮಳೆ ಮುನ್ಸೂಚನೆ,"ಬೆಂಗಳೂರು ನಗರ ಹಾಗೂ ಗ್ರಾಮಾಂತರ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಮುಂದಿನ ಮೂರು ದಿನಗಳ ಕಾಲ ಯೆಲ್ಲೋ ಅಲರ್ಟ್ ಘೋಷಿಸಲಾಗಿದ್ದು, ಭಾರಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ ಎಂದು ಹವಾಮಾನ ಇಲಾಖೆ ತಿಳಿಸಿದೆ.","ಬೆಂಗಳೂರು ಸೇರಿ ದಕ್ಷಿಣ ಒಳನಾಡಿನಲ್ಲಿ ಮುಂದಿನ 3 ದಿನ ಭಾರಿ ಮಳೆ ಮುನ್ಸೂಚನೆ ಬೆಂಗಳೂರು ನಗರ ಹಾಗೂ ಗ್ರಾಮಾಂತರ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಮುಂದಿನ ಮೂರು ದಿನಗಳ ಕಾಲ ಯೆಲ್ಲೋ ಅಲರ್ಟ್ ಘೋಷಿಸಲಾಗಿದ್ದು, ಭಾರಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ ಎಂದು ಹವಾಮಾನ ಇಲಾಖೆ ತಿಳಿಸಿದೆ.",2026-05-24,https://www.newsportal.com/article/23,Prajavani,"Bengaluru, Karnataka",12.9716,77.5946,0,0,0,0,0,0,0,0,0,0,1
NEW UPDATE: ಬೆಂಗಳೂರು: ರಾಜಕೀಯ ದ್ವೇಷಕ್ಕೆ ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆ ಯುವಕನ ಭೀಕರ ಕೊಲೆ,ಬೆಂಗಳೂರಿನ ಯಲಹಂಕದಲ್ಲಿ ತಡರಾತ್ರಿ ಯುವಕನೊಬ್ಬನನ್ನು ದುಷ್ಕರ್ಮಿಗಳು ಅಟ್ಟಾಡಿಸಿ ಕೊಲೆ ಮಾಡಿದ್ದಾರೆ. ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಈ ಕೊಲೆ ನಡೆದಿದೆ ಎಂದು ಪೊಲೀಸರು ತಿಳಿಸಿದ್ದಾರೆ.,ಬೆಂಗಳೂರು: ರಾಜಕೀಯ ದ್ವೇಷಕ್ಕೆ ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆ ಯುವಕನ ಭೀಕರ ಕೊಲೆ ಬೆಂಗಳೂರಿನ ಯಲಹಂಕದಲ್ಲಿ ತಡರಾತ್ರಿ ಯುವಕನೊಬ್ಬನನ್ನು ದುಷ್ಕರ್ಮಿಗಳು ಅಟ್ಟಾಡಿಸಿ ಕೊಲೆ ಮಾಡಿದ್ದಾರೆ. ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಈ ಕೊಲೆ ನಡೆದಿದೆ ಎಂದು ಪೊಲೀಸರು ತಿಳಿಸಿದ್ದಾರೆ.,2026-05-27,https://www.newsportal.com/article/dup_0,Prajavani,"Yelahanka, Bengaluru",13.1008,77.5963,1,0,0,0,0,0,0,0,0,0,0
NEW UPDATE: Delhi Triple Murder Case: Business partner arrested after three found dead,The Delhi Police have arrested a business associate in connection with the triple murder in Rohini. The victims were found with stab wounds.,delhi triple murder case: business partner arrested after three found dead the delhi police have arrested a business associate in connection with the triple murder in rohini. the victims were found with stab wounds.,2026-05-27,https://www.newsportal.com/article/dup_1,Times of India,"Rohini, Delhi",28.714100000000002,77.0925,1,0,0,0,0,0,0,0,0,0,0
NEW UPDATE: மயிலாப்பூரில் ஓய்வுபெற்ற முதிய தம்பதி கொடூரக் கொலை: கார் ஓட்டுநர் கைது,"சென்னையில் மயிலாப்பூரில் தம்பதியர் படுகொலை செய்யப்பட்ட வழக்கில், நேபாளத்துக்கு தப்பியோட முயன்ற கார் ஓட்டுநரை போலீசார் கைது செய்தனர்.","மயிலாப்பூரில் ஓய்வுபெற்ற முதிய தம்பதி கொடூரக் கொலை: கார் ஓட்டுநர் கைது சென்னையில் மயிலாப்பூரில் தம்பதியர் படுகொலை செய்யப்பட்ட வழக்கில், நேபாளத்துக்கு தப்பியோட முயன்ற கார் ஓட்டுநரை போலீசார் கைது செய்தனர்.",2026-05-27,https://www.newsportal.com/article/dup_2,Dina Thanthi,"Mylapore, Chennai",13.0136,80.2876,1,0,0,0,0,0,0,0,0,0,0
NEW UPDATE: Police arrest two in Hyderabad minor gang assault case,The Jubilee Hills police registered a case under POCSO and arrested two suspects for the assault of a minor girl in an isolated building.,police arrest two in hyderabad minor gang assault case the jubilee hills police registered a case under pocso and arrested two suspects for the assault of a minor girl in an isolated building.,2026-05-27,https://www.newsportal.com/article/dup_3,The Hindu,"Jubilee Hills, Hyderabad",17.462500000000002,78.3771,0,1,0,0,1,0,0,0,0,0,0
"NEW UPDATE: यूपी: मेरठ में कॉलेज छात्रा के साथ दुष्कर्म का मामला, आरोपी गिरफ्तार",मेरठ के एक निजी कॉलेज के पास छात्रा को नशीला पदार्थ पिलाकर दुष्कर्म करने के आरोप में मुख्य आरोपी को गिरफ्तार कर लिया गया है।,"यूपी: मेरठ में कॉलेज छात्रा के साथ दुष्कर्म का मामला, आरोपी गिरफ्तार मेरठ के एक निजी कॉलेज के पास छात्रा को नशीला पदार्थ पिलाकर दुष्कर्म करने के आरोप में मुख्य आरोपी को गिरफ्तार कर लिया गया है।",2026-05-27,https://www.newsportal.com/article/dup_4,Amar Ujala,"Meerut, Uttar Pradesh",28.9445,77.74640000000001,0,1,0,0,0,0,0,0,0,0,0
"NEW UPDATE: Kasaragod: Kidnapped businessman rescued within 12 hours, 3 held",A swift operation by the police team led to the rescue of a local trader who was abducted for ransom from his residence in Kasaragod.,"kasaragod: kidnapped businessman rescued within 12 hours, 3 held a swift operation by the police team led to the rescue of a local trader who was abducted for ransom from his residence in kasaragod.",2026-05-27,https://www.newsportal.com/article/dup_5,Udayavani,"Kasaragod, Kerala",12.560300000000002,74.93520000000001,0,0,1,0,0,0,0,0,0,0,0
"NEW UPDATE: पटना: डॉक्टर के इकलौते बेटे का अपहरण, 50 लाख की फिरौती मांगी",पटना के बोरिंग रोड से एक प्रसिद्ध डॉक्टर के बेटे का अपहरण कर लिया गया है। अपहरणकर्ताओं ने 50 लाख रुपये की फिरौती की मांग की है।,"पटना: डॉक्टर के इकलौते बेटे का अपहरण, 50 लाख की फिरौती मांगी पटना के बोरिंग रोड से एक प्रसिद्ध डॉक्टर के बेटे का अपहरण कर लिया गया है। अपहरणकर्ताओं ने 50 लाख रुपये की फिरौती की मांग की है।",2026-05-26,https://www.newsportal.com/article/dup_6,Dainik Bhaskar,"Boring Road, Patna",25.558600000000002,85.1691,0,0,1,0,0,0,0,0,0,0,0
NEW UPDATE: Bengaluru IT park: Techie arrested for stalking and harassing colleague,A 28-year-old software engineer was booked by the Whitefield police for persistent offline and online harassment of a female coworker.,bengaluru it park: techie arrested for stalking and harassing colleague a 28-year-old software engineer was booked by the whitefield police for persistent offline and online harassment of a female coworker.,2026-05-26,https://www.newsportal.com/article/dup_7,Vijay Karnataka,"Whitefield, Bengaluru",13.0398,77.68,0,0,0,1,0,0,0,0,0,0,0
"NEW UPDATE: मुंबई लोकल ट्रेन में महिला से छेड़छाड़, आरोपी सह-यात्री दबोचा गया",मुंबई के कुर्ला स्टेशन के पास लोकल ट्रेन के डिब्बे में एक महिला से छेड़छाड़ करने के आरोप में एक पुरुष को यात्रियों ने पकड़कर जीआरपी के हवाले किया।,"मुंबई लोकल ट्रेन में महिला से छेड़छाड़, आरोपी सह-यात्री दबोचा गया मुंबई के कुर्ला स्टेशन के पास लोकल ट्रेन के डिब्बे में एक महिला से छेड़छाड़ करने के आरोप में एक पुरुष को यात्रियों ने पकड़कर जीआरपी के हवाले किया।",2026-05-26,https://www.newsportal.com/article/dup_8,NDTV India,"Kurla, Mumbai",18.985200000000003,72.9597,0,0,0,1,0,0,0,0,0,0,0
NEW UPDATE: POCSO case registered against school teacher in Chennai for child abuse,"Following complaints from parents, the police booked a physical training instructor under the POCSO Act for inappropriate behavior.","pocso case registered against school teacher in chennai for child abuse following complaints from parents, the police booked a physical training instructor under the pocso act for inappropriate behavior.",2026-05-26,https://www.newsportal.com/article/dup_9,The Hindu,"Adyar, Chennai",13.0933,80.16499999999999,0,0,0,0,1,0,0,0,0,0,0
